kuname,candidate_name,party,color
北海道11区,候補者A,自由民主党,#d70035
北海道11区,候補者B,社民党,#1ca9e9
北海道11区,候補者C,公明党,#f55883
北海道12区,候補者A,日本維新の会,#88c900
北海道12区,候補者B,社民党,#1ca9e9
北海道12区,候補者C,無所属,#999999
北海道12区,候補者D,日本共産党,#5a2e87
北海道12区,候補者E,自由民主党,#d70035
北海道5区,候補者A,無所属,#999999
北海道5区,候補者B,公明党,#f55883
北海道5区,候補者C,立憲民主党,#004098
北海道5区,候補者D,日本共産党,#5a2e87
北海道5区,候補者E,れいわ新選組,#e954a4
北海道6区,候補者A,無所属,#999999
北海道6区,候補者B,れいわ新選組,#e954a4
北海道6区,候補者C,立憲民主党,#004098
北海道6区,候補者D,日本維新の会,#88c900
北海道6区,候補者E,国民民主党,#fdbd02
北海道3区,候補者A,立憲民主党,#004098
北海道3区,候補者B,れいわ新選組,#e954a4
北海道4区,候補者A,国民民主党,#fdbd02
北海道4区,候補者B,立憲民主党,#004098
北海道4区,候補者C,れいわ新選組,#e954a4
北海道4区,候補者D,公明党,#f55883
北海道4区,候補者E,自由民主党,#d70035
北海道9区,候補者A,日本維新の会,#88c900
北海道9区,候補者B,日本共産党,#5a2e87
北海道9区,候補者C,社民党,#1ca9e9
北海道9区,候補者D,立憲民主党,#004098
宮崎1区,候補者A,国民民主党,#fdbd02
宮崎1区,候補者B,日本共産党,#5a2e87
北海道10区,候補者A,無所属,#999999
北海道10区,候補者B,立憲民主党,#004098
北海道10区,候補者C,国民民主党,#fdbd02
北海道10区,候補者D,日本共産党,#5a2e87
北海道10区,候補者E,日本維新の会,#88c900
宮崎2区,候補者A,無所属,#999999
宮崎2区,候補者B,日本維新の会,#88c900
宮崎2区,候補者C,自由民主党,#d70035
宮崎2区,候補者D,日本共産党,#5a2e87
北海道7区,候補者A,れいわ新選組,#e954a4
北海道7区,候補者B,無所属,#999999
北海道8区,候補者A,国民民主党,#fdbd02
北海道8区,候補者B,立憲民主党,#004098
北海道8区,候補者C,無所属,#999999
